id,param_value,expected_regret,correct_arm,correct_arm_80,min_opt_gap,opt_mean,warmup,warmup_label
228,91,235.2175,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
229,91,188.91799999999992,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
230,91,150.41850000000005,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
231,91,121.92699999999995,1.0,1.0,0.09999999999999998,0.6,1000,Warmup N: 1000
232,91,124.67300000000009,0.79,0.03,0.050000000000000044,0.55,1000,Warmup N: 1000
233,91,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
234,91,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
235,91,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
236,91,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
237,91,375.006,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
238,91,283.2164999999999,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
239,91,206.45399999999998,1.0,1.0,0.09999999999999998,0.6,2000,Warmup N: 2000
240,91,157.14750000000015,0.7,0.12,0.050000000000000044,0.55,2000,Warmup N: 2000
241,101,39.276,1.0,1.0,0.4,0.9,0,Warmup N: 0
242,101,54.099500000000006,1.0,1.0,0.35,0.85,0,Warmup N: 0
243,101,46.353,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
244,101,84.795,1.0,1.0,0.25,0.75,0,Warmup N: 0
245,101,72.79199999999999,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
246,101,74.0355,1.0,1.0,0.15000000000000002,0.65,0,Warmup N: 0
247,101,87.11899999999999,0.97,0.97,0.09999999999999998,0.6,0,Warmup N: 0
248,101,112.67250000000008,0.73,0.12,0.050000000000000044,0.55,0,Warmup N: 0
249,101,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
250,101,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
251,101,281.31600000000026,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
252,101,235.2925,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
253,101,189.1219999999999,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
254,101,149.96400000000006,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
255,101,136.28199999999995,1.0,1.0,0.09999999999999998,0.6,1000,Warmup N: 1000
256,101,136.84100000000012,0.7,0.09,0.050000000000000044,0.55,1000,Warmup N: 1000
257,101,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
258,101,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
259,101,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
260,101,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
261,101,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
262,101,283.1489999999999,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
263,101,203.55599999999998,1.0,1.0,0.09999999999999998,0.6,2000,Warmup N: 2000
264,101,157.97300000000013,0.7,0.15,0.050000000000000044,0.55,2000,Warmup N: 2000
